DelineationCode,SampleDate,CFC_ALG,CFC_ALL_EMAP,CFC_ALL_SWAMP,CFC_AQM,CFC_BRS,CFC_HUM,CFC_LTR,CFC_LWD,CFC_OHV,CFC_RCK,CFC_UCB,FL_F,FL_M,FL_N_F,FL_N_M,FL_Q_F,FL_Q_M,MWVM_F,MWVM_M,NFC_DLU,NFC_EFR,NFC_ERN,PBM_E,PBM_S,PBM_V,PCT_BDRK,PCT_BIGR,PCT_CB,PCT_CF,PCT_CF_WT,PCT_CPOM,PCT_DR,PCT_FAST,PCT_FAST_WT,PCT_FN,PCT_GC,PCT_GF,PCT_GL,PCT_GL_WT,PCT_HP,PCT_MAA,PCT_MAP,PCT_MAU,PCT_MCP,PCT_MIAT1,PCT_MIAT1P,PCT_MIATP,PCT_NSA,PCT_OT,PCT_POOL,PCT_POOL_WT,PCT_RA,PCT_RA_WT,PCT_RC,PCT_RI,PCT_RI_WT,PCT_RN,PCT_RN_WT,PCT_RR,PCT_RS,PCT_SA,PCT_SAFN,PCT_SB,PCT_SFGF,PCT_SLOW,PCT_SLOW_WT,PCT_WD,PCT_XB,PWVZ,RBP_CHN,RBP_EPI,RBP_FLW,RBP_PLS,RBP_SED,SB_PP_D10,SB_PP_D25,SB_PP_D50,SB_PP_D75,SB_PP_D90,SB_PT_D10,SB_PT_D25,SB_PT_D50,SB_PT_D75,SB_PT_D90,SINU,SINU_WORKING,Slope_0,Slope_0_5,Slope_1,Slope_2,W1_HALL_EMAP,W1_HALL_SNARL,W1_HALL_SWAMP,W1H_BLDG,W1H_BRDG,W1H_CROP,W1H_LDFL,W1H_LOG,W1H_MINE,W1H_ORVY,W1H_PARK,W1H_PIPE,W1H_PSTR,W1H_PVMT,W1H_PWRL,W1H_ROAD,W1H_TRAL,W1H_VEGM,W1H_WALL,XBEARING,XBKF_H,XC,XCDENBK,XCDENMID,XCM,XCMG,XEMBED,XFC_ALG,XFC_AQM,XFC_BIG,XFC_BRS,XFC_HUM,XFC_LTR,XFC_LWD,XFC_NAT_EMAP,XFC_NAT_SWAMP,XFC_OHV,XFC_RCK,XFC_UCB,XG,XGB,XGH,XGW,XKBF_W,XM,XMIAT,XMIATP,XMW,XPCAN,XPCM,XPCMG,XPGVEG,XPMGVEG,XPMID,XSDGM,XSLOPE,XSPDGM,XSPGM,XWAK,XWDA,XWDEPTH,XWDM,XWDO,XWDR,XWIDTH,XWPH,XWSC,XWSL,XWTB,XWTC,XWTF,XWV_F,XWV_M
105FS0418,8/5/2009,9,3,3,0,7,0,0,0,0,11,0,,1.17,,,41.5,1.17,3,0.9,,,,0,100,0,17,79,32,0,0,11,0,49,49,0,12,4,10,10,0,9,9,0,0,40,44,91,36,0,42,42,10,10,0,10,10,29,29,0,17,15,15,18,19,52,52,1,0,11.8,,,,,,1.03,25,100,190,390,1.03,40,155,420,5660,1.08,,0,10,50,70,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,172,3.1,32,,45,57,85,14,4.1,0,43.4,3.2,0,0,0,46.6,46.6,0,43.4,0,28,82,13,15,15.5,25,1.8,2,,0.82,0.82,0.82,1,0.73,1,110.7,1.6,48.6,,,5.3,40.2,91.6,8.5,33.1,13.3,7.3,115.2,0.1,0.55,18.3,64.9,0.85,0.26
105FS0418,9/15/2009,0,4,5,0,3,0,1,7,5,11,0,,0.76,,,27,0.76,1.8,0.5,,,,0,77,23,16,87,33,8,8,18,0,40,40,0,11,1,36,36,0,18,18,0,0,11,11,100,24,0,25,25,0,0,0,18,18,14,14,0,16,11,11,25,12,61,61,0,2,26.7,,,,,,1.03,45,157,360,625,1.03,75,157,625,5660,,,,,,,0.14,,0.14,0,0,0,0.14,0,0,0,0,0,0,0,,0,,0,0,,1,34,,47,59,89,33,0,0,28,1.4,0,0.5,3.2,31.7,32.2,2.3,24.8,0,30,60,10,20,17.9,25,0.6,0.6,,0.91,0.91,0.91,1,0.82,1,176.5,,90.3,,55,5.2,37.5,88.1,9.5,37.3,14,7.2,121,0.1,0.55,15.1,59.2,0.54,0.17
105FS0418,10/20/2009,0,5,5,0,2,0,0,1,1,11,1,,1.56,,,55.2,1.56,3.6,1.1,,,,0,91,9,19,76,19,1,1,25,0,28,28,1,13,3,62,62,0,1,1,0,0,8,8,94,7,0,10,10,7,7,0,18,18,2,2,5,14,20,21,25,24,72,72,0,0,46.7,,,,,,1.03,1.03,73,625,625,1.03,19,157,625,5660,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,1,25,,44,37,70,36,0,0,43,0.9,0,0,0.5,44.5,44.5,0.6,42,0.5,33,57,11,22,17.9,12,0.6,0.6,,0.86,0.86,0.86,1,0.82,0.91,103.1,,40.3,,60,5.5,40.2,91.9,11.1,34.3,13.8,8.4,118,0.1,1.15,12.4,54.3,0.68,0.21
105FS0423,8/10/2010,0,4,5,1,5,0,1,0,0,11,2,,0.51,,,18.2,0.51,1.8,0.5,,,,0,55,45,13,94,22,0,0,40,0,82,82,0,8,3,6,6,0,4,4,0,0,1,1,97,5,0,12,12,22,22,0,20,20,40,40,9,4,5,5,26,8,18,18,0,25,16.7,,,,,,20,120,370,2500,2500,21,150,600,2500,5660,1.03,,0,0,0,30,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,152,1,39,,71,65,108,3,0,2.3,40.7,2.3,0,0.5,0,43,45.8,0,39.8,0.9,43,51,15,28,10.2,26,0.3,0.3,,1,1,1,1,1,1,408.8,3.6,282,,104,1.4,18.5,37.1,9.77,40,7.4,8,143.7,0.1,0.09,15.3,59.5,0.52,0.16
105FS0424,8/10/2010,5,4,5,5,2,0,1,0,0,11,0,,1.23,,,43.7,1.23,2.2,0.7,,,,0,100,0,2,92,30,0,0,11,0,101,101,0,20,7,0,0,0,30,30,0,4,4,5,83,34,0,0,0,3,3,0,50,50,48,48,0,2,2,2,36,9,0,0,0,4,16.7,,,,,,16,42,170,625,625,16,42,170,625,625,1.02,,0,0,20,80,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,80,0.6,33,,15,82,132,16,2.3,2.3,33.9,0.9,0,0.5,0,34.8,37.6,0,33.9,0,50,43,13,37,24.3,49,0.5,0.5,,1,1,1,1,1,1,152,2,141.7,,73,3.2,16.7,38.8,9.3,114.4,19.1,8.2,116,0.1,0.18,18.2,64.8,1.07,0.33
105FS0425,8/10/2011,0,6,7,11,10,0,3,2,2,11,3,,0.87,,,31,0.87,3.3,1,,,,0,100,0,19,93,33,8,8,14,0,70,70,0,15,6,19,19,1,6,6,0,0,0,0,81,6,0,11,11,0,0,0,53,53,9,9,2,17,0,0,24,6,30,30,0,2,10.5,,,,,,25,60,112.5,460,625,27,69,170,625,5660,1.08,,0,0,0,20,0.38,,0.38,0,0,0,0.27,0,0,0,0,0,0,0.11,,0,,0,0,158,0.3,45,,47,70,114,25,0,10.5,40.9,6.4,0,1.4,0.9,48.2,60.1,0.9,33.9,6.1,44,60,24,20,18,25,0.3,0.4,,0.95,0.95,0.95,1,0.82,1,277.8,3.6,130.7,,40,3,24.7,56.5,8.62,48.6,12,8.03,70.4,0,0.42,14.5,58.1,1.09,0.33
105FS0427,8/3/2011,0,5,6,6,8,0,4,1,7,11,0,,,,,994,28.14,4.3,1.3,,,,0,100,0,7,95,38,0,0,13,0,82,82,0,12,4,16,16,0,7,7,0,7,0,0,92,7,0,2,2,10,10,0,36,36,36,36,0,7,1,1,32,5,18,18,0,6,11.8,,,,,,25,77,175,386,625,25,90,195,550,2500,1.22,,0,0,10,50,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,251,0.5,34,87,32,63,124,28,0,4.5,66,3.6,0,1.8,0.5,72.8,79.1,3.2,65.5,0,61,37,22,39,23,29,0.4,0.4,,1,1,1,1,1,1,213.4,3.2,168.8,,44,5.1,29.3,68,8.16,59.7,17.5,7.8,1046,0.1,0,14,57.2,1.75,0.53
105FS0428,8/3/2011,0,5,6,2,9,0,7,4,4,10,0,,0.91,,,32.4,0.91,3,0.9,,,,0,100,0,6,88,25,4,4,25,0,87,87,0,4,2,10,10,0,0,0,0,1,0,0,78,0,0,2,2,22,22,0,16,16,45,45,0,6,6,6,37,8,12,12,5,16,23.1,,,,,,44,112,607.5,625,2500,50,115,625,625,2500,1.01,,0,0,0,0,0,,0.14,0,0.14,0,0,0,0,0,0,0,0,0,,0,,0,0,159,1.3,48,,95,66,98,25,0,1,60.8,4.5,0,3.5,4,67.3,71.8,2,56.8,0,32,67,14,18,11.2,18,0.3,0.3,,1,0.95,0.95,1,0.73,0.95,318.6,7.8,265.1,,36,1.9,25.7,64.8,9.31,28,7.2,8,69.1,0,2.57,12.7,54.9,1.3,0.4
105PS0028,8/12/2008,11,6,7,0,6,0,8,7,11,11,11,,,,,0.3,0.008,0.3,0.1,,,,5,14,82,0,46,14,0,0,34,0,28,28,0,20,15,2,2,19,,,,,,,,,0,70,70,14,14,0,14,14,0,0,0,0,18,18,10,33,72,72,1,2,0,,,,,,,,34,90,625,1.03,9,44,625,5660,1.04,,0,50,80,100,0.06,,0.06,0.06,0,0,0,0,0,0,0,0,0,0,,0,,0,0,283,0.9,37,,28,68,139,25,5,0,18.6,8.2,0,3.6,5,31.8,35.4,5,8.6,5,71,16,26,45,20.9,31,,,,1,1,1,1,1,1,67.6,0.7,23.6,,48,10.6,57.1,132.7,6.95,32.4,18.5,8.68,66.2,0,1.94,22.2,72,0.22,0.07
105PS0028,8/26/2008,11,4,4,4,0,0,0,0,0,4,1,,,,,0.3,0.009,0.2,0.1,,,,91,5,5,12,38,21,0,0,58,0,32,32,20,3,5,58,58,0,,,,,,,,,0,10,10,0,0,0,32,32,0,0,12,0,37,57,2,62,68,68,0,0,9.1,,,,,,,,1.03,65,157,0.03,1.03,1.03,130,5660,1.02,,20,70,80,100,1.5,,1.5,0,0,0,0,0,0,0,0,0,1.5,0,,0,,0,0,289,0.3,7,,8,34,76,39,10.5,5.5,2.3,0,0,0,0,2.3,7.8,0,1.8,0.5,42,58,18,24,8,27,,,,0.45,0.45,0.45,1,1,1,5.7,0.5,2.1,,,0.2,8.9,15.1,9,24.7,2.2,8.2,82,0,4.8,21,69.8,0.08,0.02
105PS0043,9/17/2008,10,6,7,0,11,0,1,5,10,11,3,,0.15,,,5.4,0.15,1.9,0.6,,,,14,27,59,28,84,21,7,7,37,6,73,69,0,12,4,12,11,0,,,,,,,,,0,9,9,15,14,0,12,11,39,37,11,17,10,10,11,14,21,20,0,12,21.4,,,,,,,,100,625,2500,1.03,60,600,5660,5660,1.03,,0,0,10,20,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,312,0.8,49,,86,90,145,35,6.4,0,33.4,17.7,0,2.3,7.7,91.6,93.9,40.5,24.3,1.4,55,48,24,31,8.8,41,,,,1,1,1,1,1,1,294.3,4.1,90.2,,108,0.6,13,31.3,10.42,36.9,4.8,8.32,204.5,0.1,0.27,11.5,52.7,0.91,0.28
105PS0067,8/24/2009,0,4,5,0,10,0,4,1,10,11,0,,,,,0.2,0.006,1,0.3,,,,0,41,59,0,81,39,10,10,45,0,38,38,0,30,9,47,47,0,2,2,0,0,2,2,97,4,0,16,16,0,0,0,28,28,0,0,0,0,10,10,12,19,63,63,0,0,78.6,,,,,,1.03,20,65,150,265,1.03,20,65,150,265,1.07,,0,0,0,30,0.57,,0.71,0.03,0.14,0,0.07,0,0,0,0,0.14,0,0.33,,0,,0,0,168,0.4,40,,97,105,174,34,0,0,23,11.8,0,1.8,0.5,50.3,52.1,15.5,22.5,0,69,22,14,55,6.4,65,0.4,0.4,,1,1,1,1,1,1,47.4,3,47.4,,275,0.1,3.6,9.1,7.71,77.8,2.8,8,435.4,0.2,0.36,15.9,60.6,0.14,0.04
105PS0067,9/15/2009,1,7,8,11,11,0,11,2,11,11,3,,,,,0.2,0.005,1,0.3,,,,0,100,0,0,87,30,0,0,59,0,32,32,0,42,11,68,68,0,1,1,0,8,0,0,40,1,0,0,0,0,0,0,32,32,0,0,0,0,1,1,12,12,68,68,0,3,58.3,,,,,,14,25,48,162,435,14,25,48,162,435,1.08,,0,0,0,0,0.48,,0.53,0.05,0.05,0,0.07,0,0,0,0,0,0,0.33,,0.03,,0,0,177,0.5,52,,95,108,195,27,0.5,8.6,25.5,25,0,6.8,0.9,68.2,83.6,17.7,23.2,1.4,87,9,31,56,5.9,56,0.1,0.3,,1,1,1,1,1,1,67.5,4.5,67.5,,210,0.1,5.1,13.6,6.98,52.9,2.7,8.2,494,0.2,0.42,14.4,57.9,0.19,0.06
105PS0069,8/18/2009,0,3,4,0,9,0,2,2,0,11,0,,,,,0.5,0.01,1.4,0.4,,,,0,55,45,0,67,17,10,10,30,0,36,36,0,17,16,33,33,0,1,1,0,0,0,0,62,1,0,30,30,0,0,0,26,26,0,0,0,0,15,15,17,31,63,63,1,16,43.8,,,,,,1.03,9,68.5,625,2500,1.03,9,68.5,625,2500,1.03,,0,0,30,60,0.12,,0.12,0,0,0,0,0,0,0,0,0,0,0,,0.12,,0,0,141,0.6,67,,98,126,195,37,0,0,23.4,5.9,0,0.9,0.9,29.3,30.2,0,22.5,0,69,25,10,59,11.6,59,0.2,0.3,,1,1,1,1,0.95,1,66,2.5,66,,30,0.6,8.2,20.7,9.59,91.5,7.5,6.7,78.3,0,0.44,15.9,60.6,0.23,0.07
105PS0083,9/8/2009,5,6,6,6,9,0,0,3,9,8,0,,0.008,,,0.3,0.008,0.6,0.2,,,,0,100,0,30,83,19,86,86,52,0,89,89,0,30,12,7,7,0,13,13,0,4,0,0,94,13,0,4,4,0,0,0,3,3,0,0,0,30,0,0,3,12,11,11,4,1,46.2,,,,,,9,19,36,87,157,11,28,77,5660,5660,1.12,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,98,0.5,25,,77,69,128,32,2.3,2.7,10.5,5.9,0,0,1.4,24.1,26.8,7.7,9.1,0,59,31,28,31,5.4,44,0.3,0.3,,0.91,0.91,0.91,1,0.91,1,200.6,22.3,42.6,,38,0.1,7.5,15.2,10,22.7,1.7,7.3,100.9,0,3.84,10.9,51.6,0.11,0.03
105PS0090,8/25/2009,11,5,6,0,8,0,2,0,5,11,1,,0.19,,,7,0.19,1,0.3,,,,55,27,18,15,92,30,0,0,30,0,51,51,0,31,6,49,49,0,34,35,2,0,4,4,99,38,0,0,0,0,0,0,50,50,1,1,13,2,1,1,14,7,49,49,0,2,26.7,,,,,,17,38,69,220,575,18,41,95,510,5660,1.13,,0,0,20,70,0.1,,0.1,0,0,0,0.07,0,0,0,0,0,0,0.03,,0,,0,0,199,0.4,27,,20,61,95,12,28.4,0,74.1,3.6,0,0.9,0,81.8,82.7,4.1,73.6,0.5,34,53,3,31,12,34,0.5,0.5,,1,1,1,1,0.91,1,157.5,2.2,82.7,,40,1.2,13.5,32.2,8.81,63.7,8.6,7.7,111.9,0.1,0.31,15.6,60.1,0.33,0.1
105PS0092,8/11/2008,10,6,7,0,11,0,9,10,11,10,3,,,,,0.3,0.009,1,0.3,,,,100,0,0,0,67,25,1,1,81,0,12,12,6,32,13,73,73,0,,,,,,,,,0,15,15,2,2,0,9,9,0,0,0,0,15,21,9,34,88,88,0,1,16.7,,,,,,,,37,94,180,1.03,9,37,94,180,1.15,,0,0,40,80,3.43,,3.43,0,0,0,0.38,1.5,0,0,0,0,1.5,0,,0.05,,0,0,66,0.8,40,,62,65,90,12,26.2,0,47.3,25,0,11.4,22,94.8,106.2,22.5,17.3,8,25,88,5,20,13,25,,,,1,1,1,1,0.73,1,20.7,1.8,20.7,,45,0.3,9.7,22.5,7.45,35.1,3.4,8.45,61.4,0,0.64,18.8,65.8,0.49,0.15
105PS0097,9/8/2009,4,5,6,5,4,0,5,0,7,10,0,,0.78,,,27.5,0.78,3.4,1,,,,0,91,9,0,94,62,10,10,19,0,53,53,1,12,1,46,46,0,40,41,1,0,24,25,99,53,1,2,2,0,0,0,32,32,11,11,0,0,3,4,19,5,48,48,0,1,25,,,,,,41,85,135,210,430,41,85,135,210,430,1.03,,0,20,20,50,0.53,,0.53,0,0,0,0.2,0,0,0,0,0,0,0,,0.33,,0,0,50,0.3,16,,31,54,101,31,1.8,2.3,19.1,1.8,0,2.3,0,24.1,28.7,3.2,19.1,0,47,42,11,36,14.7,38,1.1,1.1,,0.64,0.64,0.64,1,1,1,115.6,2.3,115.6,,70,1.7,17.8,42.3,9.86,54.5,9.7,8,172,0.1,0.57,14.7,58.5,1.22,0.37
105PS0107,9/14/2009,10,7,8,9,8,0,3,1,11,11,5,,,,,18.4,0.52,1,0.3,,,,0,100,0,9,91,49,0,0,24,0,31,31,3,19,4,55,55,0,31,33,2,1,7,7,99,39,0,14,14,0,0,0,14,14,17,17,1,8,3,6,10,10,69,69,0,4,55,,,,,,11,46,139,180,370,11,48,145,230,2500,1.02,,10,10,60,90,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,20,0.6,19,,3,47,99,23,11.8,4.1,25.3,3.6,0,1.4,0.5,33.9,39.4,5,22.5,2.3,52,33,34,18,21.2,28,0.6,0.6,,0.82,0.82,0.82,1,0.86,1,115.3,1.4,80.1,,100,5,28,62.1,8.62,63.9,17.9,8.3,209.8,0.1,0.58,20.4,68.7,0.18,0.05
